"subjects"	"cluster.id"
"1"	"subject1"	2
"2"	"subject2"	2
"3"	"subject3"	1
"4"	"subject4"	2
"5"	"subject5"	4
"6"	"subject6"	3
"7"	"subject7"	1
"8"	"subject8"	4
"9"	"subject9"	1
"10"	"subject10"	1
"11"	"subject11"	2
"12"	"subject12"	3
"13"	"subject13"	5
"14"	"subject14"	1
"15"	"subject15"	4
"16"	"subject16"	3
"17"	"subject17"	5
"18"	"subject18"	2
"19"	"subject19"	3
"20"	"subject20"	1
"21"	"subject21"	3
"22"	"subject22"	1
"23"	"subject23"	2
"24"	"subject24"	5
"25"	"subject25"	1
"26"	"subject26"	1
"27"	"subject27"	4
"28"	"subject28"	5
"29"	"subject29"	4
"30"	"subject30"	4
"31"	"subject31"	2
"32"	"subject32"	4
"33"	"subject33"	5
"34"	"subject34"	5
"35"	"subject35"	1
"36"	"subject36"	4
"37"	"subject37"	3
"38"	"subject38"	5
"39"	"subject39"	3
"40"	"subject40"	4
"41"	"subject41"	4
"42"	"subject42"	5
"43"	"subject43"	3
"44"	"subject44"	1
"45"	"subject45"	3
"46"	"subject46"	4
"47"	"subject47"	4
"48"	"subject48"	5
"49"	"subject49"	1
"50"	"subject50"	2
"51"	"subject51"	3
"52"	"subject52"	2
"53"	"subject53"	1
"54"	"subject54"	1
"55"	"subject55"	5
"56"	"subject56"	1
"57"	"subject57"	5
"58"	"subject58"	2
"59"	"subject59"	1
"60"	"subject60"	4
"61"	"subject61"	2
"62"	"subject62"	5
"63"	"subject63"	1
"64"	"subject64"	1
"65"	"subject65"	3
"66"	"subject66"	1
"67"	"subject67"	3
"68"	"subject68"	4
"69"	"subject69"	3
"70"	"subject70"	5
"71"	"subject71"	1
"72"	"subject72"	3
"73"	"subject73"	3
"74"	"subject74"	1
"75"	"subject75"	3
"76"	"subject76"	1
"77"	"subject77"	2
"78"	"subject78"	4
"79"	"subject79"	3
"80"	"subject80"	1
"81"	"subject81"	5
"82"	"subject82"	4
"83"	"subject83"	4
"84"	"subject84"	1
"85"	"subject85"	5
"86"	"subject86"	4
"87"	"subject87"	2
"88"	"subject88"	1
"89"	"subject89"	2
"90"	"subject90"	3
"91"	"subject91"	2
"92"	"subject92"	1
"93"	"subject93"	4
"94"	"subject94"	4
"95"	"subject95"	3
"96"	"subject96"	2
"97"	"subject97"	2
"98"	"subject98"	5
"99"	"subject99"	1
"100"	"subject100"	3
"101"	"subject101"	3
"102"	"subject102"	3
"103"	"subject103"	4
"104"	"subject104"	5
"105"	"subject105"	1
"106"	"subject106"	1
"107"	"subject107"	3
"108"	"subject108"	5
"109"	"subject109"	3
"110"	"subject110"	1
"111"	"subject111"	2
"112"	"subject112"	2
"113"	"subject113"	3
"114"	"subject114"	5
"115"	"subject115"	4
"116"	"subject116"	5
"117"	"subject117"	1
"118"	"subject118"	1
"119"	"subject119"	1
"120"	"subject120"	1
"121"	"subject121"	2
"122"	"subject122"	3
"123"	"subject123"	1
"124"	"subject124"	2
"125"	"subject125"	5
"126"	"subject126"	3
"127"	"subject127"	5
"128"	"subject128"	5
"129"	"subject129"	4
"130"	"subject130"	1
"131"	"subject131"	5
"132"	"subject132"	3
"133"	"subject133"	1
"134"	"subject134"	4
"135"	"subject135"	2
"136"	"subject136"	4
"137"	"subject137"	5
"138"	"subject138"	4
"139"	"subject139"	1
"140"	"subject140"	1
"141"	"subject141"	2
"142"	"subject142"	4
"143"	"subject143"	5
"144"	"subject144"	3
"145"	"subject145"	3
"146"	"subject146"	1
"147"	"subject147"	1
"148"	"subject148"	4
"149"	"subject149"	2
"150"	"subject150"	4
"151"	"subject151"	4
"152"	"subject152"	2
"153"	"subject153"	2
"154"	"subject154"	1
"155"	"subject155"	3
"156"	"subject156"	2
